x,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn
0,0,38.16,0,37.04,0,37.88,0,38.04,0,36.6,0,37.8,0,37.4,0,38.8,0,37.28,0,36.84,0,37.6,0,36.12,0,38.8,0,38.16,0,37.52
1,0,36.72,0,35.04,0,38.8,0,38.44,0.02,34.32,0,39.08,0,37.36,0,38.56,0,36.76,0,37.24,0,37.8,0,37.68,0,36.44,0,36.76,0,38.8
2,0,38.12,0,39.12,0,38.08,0,35.52,0.02,40.88,0,38.32,0,37.48,0,39.04,0,37.52,0,36.88,0,38.96,0,37.8,0,37.08,0,38.52,0,38.28
3,0,36.56,0,35.6,0,40.64,0,39.36,0,39.88,0,36.44,0,38.44,0,35.64,0,37.36,0,38,0,38.28,0,38,0,38.4,0,40.28,0,38.76
4,0,38.12,0,37.32,0,39.72,0,40.16,0,36.96,0,39.32,0,37.68,0,38.88,0,35.68,0,38.64,0,39.92,0,35.8,0,39.12,0,40.16,0,36.96
5,0,38.48,0,39.84,0.02,39.76,0,38.96,0.02,36.6,0,38.12,0.02,34.04,0,36.6,0,36.6,0,37.4,0,38.88,0,37.4,0,39.64,0,37.8,0,39.32
6,0,37.68,0,37.16,0.02,36.72,0,38.8,0,36.2,0,35.8,0,36.8,0,34.76,0,35.28,0,37.48,0.04,38.36,0.02,38.24,0,38.64,0.02,39.88,0,40.04
7,0,38.52,0,39.24,0.2,34.44,0,34.12,0,37.04,0,34.48,0.02,36.32,0,36.76,0,35.52,0,36.12,0,31.44,0.02,34.16,0,22.76,0.02,35.4,0,39.68
8,0.06,36.2,0,35.4,0.02,36.24,0.02,36.88,0.02,35.56,0,37.48,0.14,29.8,0,36.92,0,38.72,0,31.48,0,33.52,0.02,29.48,0,26.52,0,32.8,0,34.2
9,0.04,34.92,0.18,32.44,0.04,37.08,0.04,36,0.08,32.4,0,36.6,0.12,32.92,0,31.84,0,27.08,0,29.88,0,26.08,0.02,24.4,0.04,22.64,0,31.96,0.02,26.88
10,0.02,37.36,0.04,36.08,0.06,34.56,0.06,31.72,0.04,28.6,0.02,35.48,0.02,32.92,0,34.52,0.04,25.36,0.14,35.12,0.08,20.2,0.02,11.88,0.08,20.68,0.02,31.48,0.04,24.6
11,0.22,32.92,0.06,35.96,0.06,35.24,0.1,32.32,0.02,34.68,0,33.84,0.04,27.12,0,36.96,0.02,20.12,0,27.96,0,26.16,0.02,16.44,0,25.36,0,23.4,0.02,17.6
12,0.06,33.92,0.12,28.32,0.02,35.04,0.1,34.8,0.06,30.04,0,23.76,0.04,28.44,0,21.72,0,18,0.04,24.8,0,21.4,0,16.84,0,28,0,26.08,0.02,23.28
13,0.14,28.12,0.06,21.56,0.1,32.48,0.06,29.96,0.08,28.2,0,19.8,0.02,21.96,0,23.8,0,16.04,0,24.64,0,29.72,0,24.84,0.02,26.76,0,23.68,0,14.84
14,0.06,29.92,0.04,35.52,0,35.88,0.02,25.6,0.02,36.2,0.02,17.56,0.08,24.96,0,23.36,0.02,17.52,0,19.08,0,29.12,0,26.12,0,29.4,0,15.8,0,19.84
15,0.12,33.16,0.02,33.04,0.02,34.84,0,23.64,0.02,29.8,0.04,21.52,0.08,25.4,0,22.56,0.02,16.92,0,26.52,0,28.6,0,24.36,0,27.84,0.08,24.4,0,20.16
16,0.06,24.64,0.06,33.88,0.02,22.6,0.02,27.2,0.06,28.48,0.02,18.92,0.12,21.48,0.02,21.24,0.02,15.44,0,22.12,0,21.32,0,33.88,0.02,14.6,0.14,31.44,0,21.16
17,0.04,26.64,0.1,29.4,0,23.52,0,31.16,0.04,22.2,0,20.16,0.02,27.96,0,19.16,0.02,18.48,0,24.08,0,27.2,0.04,34.64,0,30.28,0.08,27.08,0,31.36
18,0.02,17.92,0.06,30,0.02,23.76,0.02,27.76,0.08,18.32,0,21.88,0.14,26.64,0,20.64,0,29.44,0,20.28,0.02,32.92,0.04,36.68,0.02,22.68,0.22,30.64,0.04,29.56
19,0.02,26.88,0,23,0,21.16,0,19.48,0,18.44,0.02,32.64,0.06,24.84,0,19.08,0.02,13.64,0,18.8,0,29.64,0.14,31.6,0.06,36.56,0.14,28.48,0.06,28.08
20,0,23.32,0.02,23.08,0.02,21.8,0.04,29.08,0.04,14.36,0.02,26.48,0.02,27.88,0,23.84,0.06,18.28,0.04,24.84,0.16,29.12,0.1,32.08,0.18,31.76,0.16,28.44,0.14,32.56
21,0,22.08,0,21.84,0,21.8,0.02,26.88,0.06,20.76,0.02,25.52,0.18,26.52,0,30.04,0.06,26.96,0.08,21.56,0.12,33.72,0.16,33.04,0.24,29.8,0.12,34.36,0.14,31.64
22,0,19.08,0,23.2,0.02,33.24,0.02,21.68,0.06,17.4,0.04,27.32,0.14,27,0,30.52,0.08,16.76,0.04,23.04,0.34,29.24,0,27.68,0.12,26.12,0.16,30.88,0.08,26.36
23,0,24.92,0,29,0.02,31.4,0.02,27.28,0.04,25.04,0.06,26.8,0.14,30.16,0.16,25.76,0.1,23.84,0,28.84,0.2,29.44,0.04,36.44,0.12,31.24,0.06,31.24,0.14,24.08
24,0,24.16,0.04,27.6,0,32.12,0.06,30.12,0.04,32.4,0.1,29.6,0.16,28.52,0.12,28.08,0.14,28.2,0.04,21.96,0.14,29.68,0.04,38.24,0.12,35.88,0.02,26.6,0.06,29.92
25,0,21.16,0.02,28.24,0.08,34.44,0.08,31.16,0.02,32.44,0.24,28.72,0.32,27.56,0.12,34.6,0.24,28.08,0.12,32.28,0.2,31.12,0.18,24.68,0.24,21.08,0.02,27.44,0.16,30.44
26,0,30.16,0.06,30.72,0.04,36.08,0.06,35.6,0,34.8,0.08,31.2,0.1,32.28,0.04,33.32,0.18,32.44,0.14,25.68,0.02,34.68,0.16,30.84,0.24,31.56,0,22,0.22,30.56
27,0,29.68,0.02,30.36,0.08,32.92,0.04,27.84,0.02,35.68,0.22,26.96,0.3,30.48,0.32,28.4,0.02,33.32,0.08,28.8,0.08,28.96,0.02,35.12,0.04,34.4,0.14,24.44,0.14,31.48
28,0,28.24,0.08,33.68,0.06,32.44,0.1,33.36,0.02,34.92,0.14,32.68,0.26,25.52,0.2,26.44,0.12,28.88,0.16,32.48,0.22,31.4,0.1,33.64,0.18,32.36,0.04,27.16,0.26,27.16
29,0.02,31.8,0.08,31.16,0.04,32.2,0.02,32,0.04,33.84,0.16,27.16,0.22,28.36,0.16,28.08,0.02,33.08,0.02,26.68,0.06,31.88,0.24,29.16,0.2,29.24,0.08,20.28,0.08,30.76
30,0,28.48,0.08,32.36,0.02,28.8,0.02,32.6,0.06,31.68,0.1,31,0.2,29.04,0.12,29.76,0.16,21.96,0.08,32.6,0.16,32.48,0.12,35.24,0.04,26.48,0.16,30.12,0.06,24.76
31,0.06,26.96,0.02,33.76,0.18,29.28,0.06,35.4,0,31.6,0.1,25.32,0.28,29.52,0.16,33.12,0.16,33.64,0.1,32.4,0.1,35.28,0.18,30.28,0.18,27.04,0.14,24.56,0.12,33.64
32,0.04,21.04,0.14,31.48,0.12,33.2,0.1,29.88,0.02,28.56,0.22,29.56,0.34,26.64,0.02,34.28,0.36,31.64,0.36,25.52,0.18,32.24,0.12,34.2,0.46,26.24,0.14,27.68,0.32,25.2
33,0.04,28.96,0.14,32.36,0.18,32.76,0.04,28.6,0,29.48,0.18,23.16,0.18,22,0.12,30.6,0.08,33.16,0.18,26.44,0.04,31.56,0.14,35.2,0.06,29.48,0.26,23.44,0.26,28.12
34,0.06,23.12,0.14,32.24,0.16,25.8,0.02,31.56,0.06,29.84,0.1,24.76,0.12,35.92,0.16,31.72,0.2,26.16,0.1,27.76,0.1,31.72,0.18,29.96,0.3,30.44,0.22,29.56,0.16,36.84
35,0.06,25.8,0.1,36.92,0.16,28.84,0.04,28.96,0,32.32,0.24,24.76,0.12,30.76,0.22,34.12,0.18,28.76,0.4,26.2,0.16,30.6,0.08,30.72,0.28,29.04,0.2,27.64,0.3,25.88
36,0.04,31.6,0.14,33,0.14,30.24,0.04,26.64,0,30.64,0.18,28.48,0.22,32.44,0.2,30.48,0.28,25.2,0.14,36.2,0.16,31.52,0.22,23.16,0.04,31.32,0,30.08,0.08,30.32
37,0.06,30.2,0.08,33.24,0.18,28.36,0.04,28.8,0.14,28.44,0.36,27.16,0.24,30.84,0.28,20.52,0.14,34.24,0.14,35.16,0.3,29.76,0.28,28.24,0.34,25.6,0.06,27.56,0.3,29.16
38,0.08,28.72,0.18,33.28,0.18,27.4,0.02,29.08,0.08,31.52,0.24,31.12,0.22,31.48,0.14,28.92,0.02,31,0.08,36.68,0.1,27.88,0.08,28.48,0.22,30.36,0.08,29.96,0.2,28.8
39,0.16,30.6,0.1,33.76,0.16,28.52,0.02,31.36,0.2,25.44,0.36,29.52,0.22,30.08,0.28,27.32,0.34,27.36,0.18,28.24,0.28,28.36,0.18,29.96,0.32,26.44,0.06,32.52,0.14,28.16
40,0.14,29.4,0.12,31.48,0.04,33.68,0,30.24,0.12,28.32,0.32,27.04,0.2,30.48,0.26,26.76,0.16,35.12,0.1,35.44,0.18,31.64,0.3,28.64,0.24,26.64,0.14,34.16,0.3,26.68
41,0.34,25.72,0.06,35.16,0.06,27.2,0.08,29,0.08,27.84,0.16,24.88,0.24,23.84,0.14,26.12,0.22,29.04,0.26,28.68,0.06,27.72,0.18,29.08,0.12,28.68,0.3,30.08,0.34,29.72
42,0.2,22.4,0.06,32.28,0.08,20.92,0.04,31.84,0.04,32.92,0.26,23.48,0.2,28.6,0.2,29.36,0.14,32.44,0.24,27.36,0.16,32.28,0.1,34.56,0.46,28.84,0.3,32.4,0.3,32.76
43,0.08,22.76,0.06,34.48,0.02,21.8,0.12,33.32,0.08,31.56,0.16,23.72,0.32,24.44,0.22,26.2,0.26,23.24,0.28,27.12,0.22,28.96,0.16,30.32,0.3,29.44,0.12,31.32,0.2,30
44,0.06,21.52,0.14,33.08,0.06,23.52,0.12,31.28,0.32,29.24,0.12,35.36,0.4,21.12,0.18,29.44,0.2,28.72,0.28,29.24,0.28,30.92,0.24,28.64,0.28,33.2,0.24,29.6,0.22,31.08
45,0.06,29.72,0.1,28.68,0,27.52,0.24,30.24,0.22,27.92,0.24,25.76,0.3,30.72,0.18,26.92,0.08,34.56,0.2,29.84,0.3,33.44,0.18,29.68,0.22,29.88,0.36,30.96,0.24,30.16
46,0.02,23.08,0.14,32.92,0.08,28.24,0.16,27.8,0.2,28.64,0.24,27.24,0.18,29.64,0.16,27.4,0.2,32.52,0.34,26.92,0.28,31.48,0.18,29.68,0.32,33.2,0.2,31.44,0.06,37.04
47,0.02,28.84,0.1,23.12,0.1,28.04,0.16,32.56,0.12,32.76,0.34,25.28,0.32,26.84,0.16,25.52,0.26,27.96,0.38,26.88,0.24,35.52,0.32,26.2,0.34,30.56,0.2,31.92,0.28,28.2
48,0.04,30.16,0.16,28.08,0.1,31.84,0.1,30.8,0.1,34.04,0.18,30.64,0.36,21.16,0.04,31.96,0.18,24.96,0.44,26.6,0.18,29.4,0.32,23.16,0.26,30.36,0.28,25.28,0.22,32.68
49,0.02,28.64,0.08,22.32,0.16,32.76,0.06,33.4,0.1,30.28,0.44,25.2,0.26,30.52,0.2,20.64,0.24,34.64,0.36,30,0.2,29.64,0.16,29.16,0.34,31.52,0.24,33.04,0.24,32.16
50,0.04,30.8,0.16,28.28,0.16,28.52,0.16,27.64,0.06,28.52,0.16,29.64,0.14,31.4,0.2,28.76,0.24,30.96,0.24,35.04,0.24,28.6,0.32,29.16,0.14,33.64,0.22,34.12,0.2,33.6
51,0.14,29.12,0.16,27.32,0.18,33.08,0.04,31.96,0.08,30.56,0.28,31.12,0.24,27.12,0.16,24.08,0.4,24.92,0.4,26.8,0.32,24.48,0.26,31.84,0.12,29.32,0.32,29.8,0.14,31.84
52,0.06,34.24,0.16,31.36,0.3,28.12,0.12,30.04,0.16,33.76,0.24,27.8,0.24,24.56,0.28,26.04,0.42,27.08,0.36,28.28,0.14,28.8,0.18,27.76,0.22,27.72,0.22,32.76,0.3,31.28
53,0.26,28.96,0.24,27.92,0.22,31.12,0.14,29.36,0.18,26.8,0.12,27.32,0.24,24.36,0.16,24.44,0.38,26.52,0.36,28.2,0.22,27.6,0.22,26.16,0.34,28.16,0.24,25.36,0.14,33.56
54,0.12,33.84,0.18,25.36,0.2,32.32,0.16,25.84,0.2,28.12,0.06,30.6,0.22,29.48,0.36,26.56,0.38,26.96,0.3,32.56,0.2,27.84,0.44,29.44,0.34,26.16,0.38,28,0.28,31.84
55,0.1,28.44,0.26,25.52,0.22,30.2,0.18,28.16,0.08,33.12,0.22,29.52,0.34,24.68,0.36,30.48,0.36,26.48,0.24,28.8,0.12,28.24,0.3,34.32,0.48,28.56,0.32,33.72,0.24,32.4
56,0.14,33.76,0.12,31.56,0.24,33.32,0.2,29.2,0.16,32.8,0.38,26.28,0.28,30.32,0.32,31,0.22,31.36,0.38,25.48,0.12,33.16,0.34,31,0.22,30.84,0.18,31.56,0.1,32.92
57,0.34,28.64,0.2,30.64,0.16,31.88,0.16,31.84,0.04,27.68,0.28,27.6,0.38,23.92,0.44,27.24,0.38,26.28,0.18,34.08,0.24,24.36,0.24,33.32,0.18,32.56,0.28,28.4,0.18,34.72
58,0.24,31.64,0.12,26.24,0.14,33.16,0.16,35.6,0.08,32.2,0.34,22.28,0.16,23.12,0.3,25.92,0.08,31.84,0.28,29.88,0.2,31,0.26,28.96,0.32,34.28,0.32,29.84,0.3,29.32
59,0.28,29.36,0.04,31.44,0.24,32.92,0.16,30.8,0.02,29.88,0.26,29.88,0.2,28.72,0.28,27.6,0.34,27.12,0.44,27.2,0.24,30.44,0.24,36.44,0.24,33.08,0.32,29.08,0.3,30.56
60,0.24,32.92,0.08,26.8,0.26,28.32,0.14,31.08,0.18,29.84,0.42,22.76,0.28,24.08,0.3,28.88,0.28,31.88,0.24,33.88,0.18,29.84,0.2,32.44,0.36,31.84,0.34,29.12,0.2,32.4
61,0.14,30.48,0.06,24.32,0.22,31.56,0.06,27.36,0.08,34.56,0.28,34,0.26,31,0.26,28.88,0.32,29.24,0.16,37.56,0.2,29.56,0.28,31.96,0.38,23.88,0.22,32.28,0.28,31.76
62,0.26,28.88,0.06,26.08,0.4,28.88,0.24,24.36,0.08,32.36,0.38,27.04,0.2,23.84,0.36,28.36,0.22,29.4,0.32,29.48,0.24,26.76,0.3,29.72,0.28,30.76,0.3,32.32,0.26,27.56
63,0.12,29.48,0.1,29.92,0.26,28.12,0.16,32.4,0.1,35.32,0.36,26.2,0.44,20.92,0.34,28.6,0.2,24,0.26,29.6,0.12,33.92,0.28,35,0.26,29.92,0.2,29.32,0.28,28
64,0.2,31.04,0.04,28.68,0.2,32.2,0.14,28.24,0.16,35.24,0.38,26.88,0.3,31.92,0.48,26,0,33.12,0.16,32.48,0.22,31.76,0.22,33.48,0.14,31.88,0.12,34.8,0.34,29.08
65,0.16,33.64,0.1,26.76,0.2,31.4,0.22,29.8,0.2,31.88,0.34,30,0.2,28.84,0.3,28.72,0.22,27.8,0.16,34.52,0.32,30.4,0.3,26.72,0.04,37.68,0.42,27.72,0.26,31.64
66,0.2,35.24,0.18,29.72,0.16,28.96,0.2,28.96,0.26,32.6,0.3,26.76,0.22,28.8,0.44,24.96,0.3,27.8,0.26,30.04,0.28,31.48,0.2,32.96,0.24,36.2,0.34,30.8,0.32,27.84
67,0.12,35.48,0.1,28.88,0.22,24.32,0.12,29.6,0.1,33.04,0.3,28.88,0.42,25.36,0.32,29.04,0.22,27.24,0.38,29.84,0.26,27.16,0.18,32.76,0.22,31.04,0.26,27.96,0.28,30.16
68,0.1,34.32,0.18,28.36,0.02,28.4,0.22,30.16,0.24,29.36,0.22,32,0.26,24.52,0.36,24.56,0.3,29.04,0.16,32.48,0.3,29.12,0.22,28.04,0.4,30,0.3,30.72,0.36,29
69,0.06,34.92,0.24,29.84,0.12,27.56,0.1,33.76,0.2,35.04,0.18,28.88,0.08,27.96,0.34,29.96,0.24,30.76,0.12,33.16,0.2,30.92,0.16,31.24,0.3,29.08,0.26,31,0.32,31.64
70,0.12,29.4,0.24,28.12,0.02,31.4,0.18,30.28,0.16,27.72,0.22,30.68,0.28,27.56,0.3,30.24,0.18,34.04,0.28,30.04,0.28,30.44,0.28,34.56,0.52,27.96,0.36,31.52,0.24,30.44
71,0.24,30.6,0.24,30.04,0.2,22.72,0.14,30,0.16,32.28,0.32,32.68,0.28,28.28,0.22,31.08,0.16,33.32,0.14,35.48,0.28,31.16,0.2,26.72,0.34,27.68,0.36,26.8,0.36,24.2
72,0.12,33.68,0.22,32.64,0.04,20.08,0.06,27.16,0.24,30.04,0.28,30.2,0.24,29.04,0.28,27.48,0.22,29.68,0.2,33.04,0.36,25.72,0.12,30.44,0.42,26.96,0.3,30.16,0.44,25.96
73,0.32,32.8,0.16,30.92,0.24,30.8,0.1,28.52,0.24,25.6,0.24,25,0.18,31.68,0.36,22.92,0.36,27.92,0.22,33,0.22,35.04,0.38,26.64,0.32,32.88,0.16,33.92,0.24,29.12
74,0.14,33.12,0.22,30.2,0.12,27.96,0.28,25.2,0.2,31.56,0.24,32.36,0.32,21.6,0.36,27.92,0.24,30.72,0.26,29.8,0.32,23.68,0.18,30.92,0.4,26.72,0.3,28.52,0.42,27.08
75,0.18,30.96,0.26,30.8,0.1,23.2,0.18,27.68,0.2,25.32,0.26,31.76,0.24,31.44,0.32,25.84,0.3,29.4,0.26,28.36,0.4,32.28,0.26,31.24,0.34,26.24,0.46,24.2,0.26,29.64
76,0.2,32.96,0.3,29,0.08,24.6,0.26,27,0.28,27.2,0.3,28.56,0.36,29.36,0.5,26.48,0.36,28.32,0.4,27.32,0.32,31.88,0.1,34.88,0.32,33.2,0.26,32.08,0.28,33.08
77,0.14,32.04,0.34,29.96,0.1,23.4,0.24,32.28,0.18,26.88,0.38,25.72,0.34,26.12,0.36,25.04,0.28,28.08,0.26,27.68,0.24,33.12,0.18,24,0.12,34.84,0.24,33.88,0.32,30.52
78,0.2,29.76,0.32,29.72,0.12,23.32,0.08,32.56,0.06,32.44,0.38,26.8,0.22,26.96,0.3,31.76,0.32,26.28,0.18,33.04,0.34,31.6,0.3,29.36,0.28,31.48,0.5,26.48,0.3,30.68
79,0.2,30.44,0.3,30.6,0.16,27.24,0.18,33.76,0.3,26.8,0.2,28.4,0.2,35.12,0.44,25,0.3,32.8,0.2,32.36,0.26,31.04,0.32,31.68,0.28,30.16,0.2,33.52,0.34,30.96
80,0.26,31.36,0.36,26.24,0.26,28.52,0.12,32.24,0.2,26.4,0.4,22.92,0.3,29.72,0.36,30.4,0.26,26.08,0.32,29.52,0.24,34.88,0.22,30.28,0.34,26.4,0.3,28.88,0.46,26.6
81,0.42,27.8,0.28,31.8,0.26,27.44,0.2,34.08,0.2,29.6,0.42,26.4,0.54,26.68,0.32,28.32,0.3,29.24,0.18,33.12,0.16,30.24,0.12,36.28,0.26,35.68,0.34,27.28,0.3,34.76
82,0.38,27.6,0.28,29.12,0.26,28.8,0.2,32.92,0.2,23.12,0.3,27.04,0.48,24.88,0.16,29.2,0.22,31.64,0.38,30.16,0.24,34,0.2,28.28,0.36,27.04,0.36,30.84,0.3,34.08
83,0.36,28.68,0.18,32.32,0.26,30,0.12,31.32,0.1,29.32,0.26,28.8,0.32,31.32,0.26,31.04,0.42,28.16,0.22,28,0.2,33.04,0.24,32.68,0.12,37.72,0.26,31.56,0.36,30.56
84,0.28,28.72,0.28,30.76,0.4,27,0.18,30.68,0.2,29.72,0.26,29.24,0.36,30.48,0.32,29.44,0.28,29.48,0.32,26.64,0.26,31.44,0.14,35.84,0.18,36.2,0.28,26.24,0.24,33.2
85,0.2,32.56,0.22,31.24,0.32,26,0.22,30.12,0.32,22.84,0.3,30.92,0.44,27.56,0.22,30.04,0.22,30.4,0.18,27.68,0.28,31.28,0.26,33.24,0.32,28.84,0.24,29.16,0.2,30.56
86,0.32,28.4,0.18,31.32,0.38,30,0.22,30.32,0.22,25.8,0.28,28.08,0.4,26.64,0.5,20.2,0.22,33.88,0.36,30.16,0.04,34.48,0.26,32.56,0.36,26.24,0.28,32.48,0.18,30.16
87,0.16,32.52,0.18,29.36,0.24,30.08,0.2,26.24,0.24,28.68,0.26,27,0.28,30.92,0.2,31.68,0.28,33.6,0.28,26.48,0.14,33.72,0.16,28.24,0.42,27.8,0.3,29.6,0.26,27.28
88,0.38,27.92,0.3,29,0.28,28.88,0.28,28.08,0.18,26.96,0.3,29.04,0.36,28.28,0.2,33.48,0.18,34.6,0.14,31.4,0.06,33.8,0.34,29.72,0.44,24.32,0.3,34.2,0.3,27.96
89,0.28,26,0.2,27.4,0.4,27.8,0.14,27.72,0.26,29.16,0.36,27.04,0.3,31.96,0.42,29.76,0.34,29.84,0.12,35.08,0.12,32.48,0.26,31.76,0.56,24.44,0.2,28.16,0.3,26.64
90,0.4,28,0.26,28.84,0.38,29.8,0.32,25.04,0.36,25.44,0.34,26.64,0.24,27.36,0.32,25.84,0.36,24,0.2,29.72,0.16,33.68,0.22,31.68,0.34,32.16,0.16,33.16,0.26,31.28
91,0.34,28.8,0.18,31.12,0.22,30.72,0.26,28.4,0.14,30.84,0.22,27.16,0.42,29.4,0.28,32.64,0.3,25.4,0.22,22.88,0.32,29.08,0.22,33.64,0.28,31.2,0.26,30.44,0.3,26.96
92,0.48,25.36,0.38,27.12,0.28,27.12,0.26,28.56,0.32,27.64,0.34,25.12,0.4,25.08,0.22,31.8,0.28,29.16,0.3,32.12,0.22,32.04,0.3,30.56,0.34,29.44,0.34,29.28,0.36,27.68
93,0.3,31.28,0.2,32.28,0.3,29.48,0.1,32.84,0.24,28.08,0.32,30.68,0.5,24.84,0.18,33.08,0.34,31,0.2,33.84,0.26,31.76,0.28,30.32,0.22,32.88,0.32,27.6,0.32,30.08
94,0.38,29.6,0.28,28.68,0.4,26.36,0.24,28.88,0.22,30.88,0.24,29.52,0.44,30.32,0.38,24.96,0.24,30.68,0.28,28.84,0.22,33.56,0.28,34.08,0.44,26.16,0.3,28.64,0.36,31.32
95,0.22,29.76,0.2,27.12,0.3,29.32,0.42,23.84,0.34,28.2,0.2,23.08,0.42,25.88,0.3,32.2,0.3,30.92,0.32,28.28,0.28,23.16,0.22,29.36,0.32,36.08,0.28,35.6,0.24,33.12
96,0.28,30.12,0.3,22.36,0.3,27.68,0.3,27.04,0.32,28.36,0.42,18.48,0.28,26.32,0.14,35.32,0.28,25.2,0.22,29.08,0.3,27,0.38,23.12,0.34,28.88,0.24,31.96,0.26,30.88
97,0.4,28.76,0.3,28.56,0.4,31.04,0.24,28.28,0.18,29.44,0.4,20.64,0.34,28.96,0.22,32.84,0.28,29.68,0.16,32.2,0.24,33.76,0.28,30.68,0.38,28.84,0.48,24.48,0.2,33
98,0.22,30.36,0.34,28.96,0.36,26.64,0.24,31.4,0.24,29.2,0.28,28.68,0.26,30.8,0.4,28.32,0.26,26.92,0.16,35.8,0.26,29.96,0.2,27.16,0.24,34.28,0.38,28.24,0.34,29.76
99,0.28,30.04,0.24,31.44,0.5,24.12,0.24,27.32,0.3,26.88,0.3,30.2,0.4,28.96,0.34,27.52,0.32,30.32,0.38,28.04,0.24,28.84,0.26,32.2,0.24,32.56,0.28,31.88,0.24,33.68
100,0.22,28.68,0.3,27.04,0.3,27.44,0.24,25.8,0.4,26.08,0.3,27.08,0.28,25.64,0.24,33,0.44,28.24,0.28,29.76,0.3,26.48,0.26,29.2,0.34,31.44,0.22,33.96,0.22,31.36
101,0.3,25.88,0.22,28.56,0.24,27.68,0.26,29.76,0.24,27.96,0.42,27.4,0.46,24.48,0.3,29.36,0.24,30.12,0.32,27.72,0.24,26,0.32,31.48,0.3,30.44,0.3,32.32,0.24,25.72
