x,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn
102,0.76,19.44,0.26,29.48,0.86,16,0.56,23.52,0.18,30.64,0.62,19.8,0.74,26.44,0.86,15.72,0.7,18.56,0.7,35.28,0.56,18.92,0.72,25.2,0.78,18.8,0.62,19.72,0.62,19.96
103,0.84,18.96,0.56,18.44,0.56,22.64,0.66,23.32,0.38,28.12,0.54,17.68,0.74,17.76,0.8,23.36,0.76,18.4,0.52,30.04,0.5,28.96,0.54,23.84,0.72,21.96,0.8,21.4,0.64,21.88
104,0.48,23.72,0.56,14.28,0.88,16.96,0.7,25.36,0.5,27.72,0.76,18.68,0.86,17.16,0.68,21.76,0.8,24.36,0.74,21,0.6,25.2,0.66,27.44,0.78,15.6,0.8,20.44,0.72,21.16
105,0.52,25.32,0.68,19,0.74,18.8,0.76,19.64,0.58,24.76,0.62,20.28,0.76,19.12,0.76,21.64,0.52,26.08,0.58,24.96,0.66,31,0.5,25.76,0.84,15.48,0.64,32.88,0.72,22.8
106,0.76,18.48,0.32,20.92,0.78,16,0.7,21.84,0.48,28.56,0.58,27.96,0.72,29.2,0.74,21.2,0.62,20,0.54,25.64,0.66,30.88,0.66,18.96,0.78,19.36,0.58,21.6,0.68,27.36
107,0.86,18.44,0.56,16.76,0.62,21.48,0.64,22,0.52,25.92,0.66,20.96,0.74,20.12,0.76,21.32,0.54,23.88,0.5,20.8,0.7,28.88,0.62,23.24,0.78,16.6,0.64,24.48,0.82,26.16
108,0.84,18.24,0.72,18.28,0.7,20.84,0.7,20.28,0.64,23.56,0.68,22.84,0.78,21.52,0.68,22.8,0.52,28.12,0.74,20.68,0.44,29.32,0.7,16.76,0.76,19.76,0.7,27.6,0.68,24.2
109,0.6,18.84,0.8,19.76,0.66,19.96,0.66,20.32,0.44,29.04,0.58,25.16,0.82,21.56,0.7,25.6,0.3,27.76,0.4,27.08,0.16,30.64,0.68,16.56,0.64,19.56,0.66,22.08,0.66,20.92
110,0.58,20.48,0.74,20.56,0.54,21.8,0.64,21.6,0.46,28.56,0.3,22.64,0.64,27.6,0.8,19.24,0.2,34.6,0.48,33,0.14,29.68,0.58,21.32,0.7,20.48,0.56,23.28,0.52,28.68
111,0.7,19.84,0.8,18.36,0.66,21.72,0.7,18.44,0.48,23.52,0.32,24.12,0.72,19.76,0.7,19.88,0.34,22.28,0.56,26.28,0.14,27.36,0.64,22.8,0.76,15.24,0.72,18.04,0.52,23.44
112,0.86,20.36,0.82,17.36,0.78,18.96,0.4,22.08,0.52,25.44,0.44,28.28,0.78,26,0.6,21.36,0.6,26.28,0.52,21.56,0.16,24.8,0.68,17.68,0.82,15.44,0.72,26.12,0.32,23.04
113,0.82,19.64,0.74,16.28,0.7,22.28,0.64,20.44,0.58,22.88,0.48,19.52,0.68,23,0.66,17.64,0.16,32.4,0.48,27.04,0.26,24.32,0.66,29.32,0.78,16.4,0.62,27.68,0.8,16.44
114,0.82,17.64,0.72,17.24,0.68,22.16,0.66,20.2,0.48,24,0.22,21.4,0.6,21.32,0.7,25.36,0.36,22.4,0.6,22.6,0.2,32,0.66,26.32,0.66,18.88,0.6,27,0.52,25.88
115,0.5,24.04,0.76,18,0.7,21.16,0.7,19.68,0.6,22.44,0.54,18.12,0.8,21.36,0.76,19.88,0.58,21.12,0.62,24.64,0.6,31.12,0.68,17.36,0.7,19.36,0.6,25.72,0.52,23.72
116,0.68,21,0.7,19.16,0.58,21.72,0.64,20.72,0.58,22.72,0.38,16.4,0.7,19.6,0.52,25.92,0.48,21.64,0.66,19.88,0.68,25.44,0.58,21.2,0.7,18.52,0.64,23.76,0.66,18.88
117,0.76,18.28,0.72,17.52,0.72,20.16,0.62,20.2,0.48,22.04,0.62,23.24,0.68,20.16,0.68,21.72,0.74,21.16,0.72,23.2,0.66,23.28,0.52,18.48,0.78,24.8,0.58,23.84,0.48,18.92
118,0.76,19.68,0.68,17.24,0.9,17.44,0.68,23.04,0.7,20.8,0.4,17.48,0.76,18.96,0.54,30.08,0.78,16.36,0.54,24.36,0.6,34.12,0.2,29.08,0.66,21.6,0.58,21.88,0.58,23.04
119,0.46,24.32,0.7,17.28,0.9,18.44,0.82,18.48,0.58,20.48,0.52,15.88,0.7,19.08,0.64,21.04,0.64,25.52,0.68,21.08,0.7,18.8,0.7,22.24,0.7,15.24,0.68,23.12,0.62,22.48
120,0.7,19.2,0.78,14.92,0.64,23.24,0.6,24.4,0.56,24,0.58,22.6,0.58,15.48,0.38,27.76,0.56,22.16,0.64,23.08,0.76,27.96,0.18,32.52,0.78,16.64,0.68,23.08,0.64,22.68
121,0.52,22.68,0.7,16.08,0.84,16.92,0.6,24.04,0.56,21.68,0.58,15.2,0.72,33.72,0.56,21.88,0.74,15.92,0.64,18.36,0.26,30.92,0.48,25.92,0.78,17,0.46,29.08,0.54,28.44
122,0.62,21.84,0.8,15.84,0.86,17,0.74,20.36,0.58,21.36,0.2,14.84,0.74,17.68,0.74,19.16,0.72,19.36,0.54,22.48,0.66,25.24,0.76,21.96,0.72,15.92,0.6,27.2,0.66,23.88
123,0.56,21.52,0.82,17.64,0.6,23.52,0.72,22.92,0.62,21.76,0.3,28.6,0.72,18.24,0.56,23.56,0.58,23,0.68,18.64,0.1,31.92,0.66,22.76,0.72,16.84,0.48,28.76,0.18,32.52
124,0.74,17.92,0.76,15.4,0.62,21.64,0.6,21.84,0.6,23.36,0.74,19.92,0.78,18.4,0.66,16.16,0.74,18.52,0.48,24.2,0.24,34.72,0.56,21.8,0.66,22.08,0.6,25.8,0.1,30.24
125,0.66,21.36,0.84,17.68,0.74,16.04,0.46,25.28,0.62,19.84,0.72,25.04,0.76,18.84,0.68,22.32,0.68,17.36,0.7,20.64,0.16,37.24,0.48,24.4,0.68,18.84,0.62,20.8,0.28,27.16
126,0.84,19.2,0.8,16.48,0.66,19.28,0.6,23.6,0.64,20.68,0.74,18.64,0.68,17.32,0.56,20.52,0.74,16.56,0.72,21.04,0.52,22.04,0.56,24.08,0.66,21.64,0.64,23.48,0.56,24.48
127,0.74,19,0.74,16.96,0.62,21.08,0.58,23.8,0.68,21.64,0.6,19.12,0.64,27.72,0.64,19.68,0.74,18.48,0.6,21.24,0.54,21.32,0.66,21.96,0.86,16.32,0.78,19.36,0.48,20.48
128,0.74,19.32,0.74,19.04,0.8,17.4,0.56,21.84,0.72,20.88,0.38,19.52,0.56,17,0.54,17.68,0.7,17.48,0.54,27.88,0.16,29.2,0.64,24.6,0.78,14.24,0.8,17.68,0.64,21.12
129,0.7,21.04,0.8,17,0.82,22.2,0.58,23.72,0.68,21.92,0.72,21.56,0.62,16.84,0.66,20.4,0.74,17,0.46,21.96,0.2,35.12,0.78,19.12,0.78,20.2,0.64,20.8,0.66,16.6
130,0.78,18.8,0.74,16.88,0.82,18.04,0.68,19.16,0.64,19.56,0.66,25.2,0.88,19.72,0.66,20.2,0.72,21,0.68,21.08,0.14,32.2,0.74,16.36,0.9,16.4,0.7,24.04,0.56,27.92
131,0.64,24.32,0.8,16.56,0.64,18.24,0.72,17.88,0.8,16.6,0.78,18.4,0.74,19.04,0.58,20.92,0.58,20.84,0.7,20.04,0.04,33.92,0.56,17.84,0.72,16.44,0.58,26.28,0.72,27.56
132,0.66,20.6,0.64,15.76,0.72,16.48,0.66,20.2,0.68,19.8,0.66,17.04,0.66,18.52,0.68,19.72,0.76,18.36,0.72,17.64,0.06,31.16,0.64,19.72,0.72,21.88,0.6,19.44,0.7,17.8
133,0.82,18.92,0.78,17.52,0.6,17.72,0.66,18.48,0.78,17.04,0.8,17.56,0.7,20.08,0.7,18,0.68,17.6,0.5,26.96,0.24,33.68,0.62,27,0.64,25.4,0.74,19.68,0.54,18.2
134,0.74,20.28,0.82,16.4,0.6,18.24,0.76,18.04,0.82,16.96,0.74,17.16,0.72,18.52,0.72,20.44,0.64,19.28,0.54,20.64,0.24,32.88,0.72,17.52,0.7,19.88,0.76,17.44,0.62,21.92
135,0.84,20.4,0.64,16.28,0.68,17.8,0.74,19.88,0.68,18.68,0.76,15.8,0.84,20.2,0.6,24.12,0.76,20.88,0.64,20.68,0.46,29.8,0.62,19.08,0.8,22.88,0.8,16.4,0.78,23.92
136,0.68,19.16,0.78,16.52,0.84,17,0.68,18.24,0.88,15.16,0.7,17.28,0.9,23.56,0.52,20.44,0.7,23.12,0.64,24.6,0.14,38.24,0.68,18.56,0.7,22.2,0.62,20.04,0.68,18
137,0.56,22.44,0.84,17.48,0.76,16.32,0.76,18.84,0.82,17,0.8,18.92,0.78,17.76,0.66,23.4,0.74,19.48,0.56,20.68,0.3,28.24,0.52,20.56,0.82,18.4,0.66,21,0.64,17.64
138,0.68,20.88,0.68,16.24,0.78,18.24,0.72,21.28,0.8,14.92,0.68,16.2,0.8,18.6,0.84,17.08,0.32,27.28,0.6,20.92,0.2,36,0.6,20.4,0.74,19.48,0.54,20.68,0.76,16.8
139,0.64,17.6,0.76,16.4,0.88,15.56,0.72,19.12,0.62,19.36,0.7,14.36,0.68,19.8,0.68,19.96,0.34,24.84,0.62,20.4,0.64,29.6,0.52,22.56,0.64,19.24,0.62,22.28,0.64,16.68
140,0.74,18.4,0.84,16.32,0.68,17.32,0.44,27.56,0.8,16.8,0.66,18.96,0.78,20.36,0.68,20.8,0.58,20.64,0.64,19.32,0.24,28.4,0.54,18.32,0.76,27.04,0.52,20.72,0.38,26.92
141,0.84,20.16,0.7,17.04,0.74,16.8,0.58,23.2,0.76,13.6,0.58,21.48,0.74,19.72,0.76,17.36,0.66,16.72,0.6,21.2,0.68,31.92,0.68,20.28,0.82,17.76,0.62,18.8,0.6,21.88
142,0.54,21.16,0.7,14.4,0.7,18.92,0.68,23.48,0.84,16.32,0.62,16.92,0.7,15.88,0.68,19.36,0.56,16.6,0.52,19.84,0.62,23.28,0.64,16.08,0.72,16.16,0.42,26.64,0.32,19.84
143,0.58,19.96,0.8,15.56,0.62,16.84,0.68,19.2,0.74,17,0.64,16.08,0.78,18.92,0.68,21.8,0.68,20.16,0.54,23.44,0.78,25.8,0.66,18.2,0.76,19.92,0.6,18.6,0.28,27.2
144,0.58,19.2,0.72,14.24,0.66,16.88,0.78,20.56,0.78,14.44,0.58,18.76,0.72,18.32,0.68,15.68,0.8,15.16,0.58,20.28,0.74,20.88,0.72,17.68,0.68,22,0.64,20.88,0.62,25.44
145,0.76,18.12,0.82,16,0.6,16.64,0.68,18.4,0.84,14.64,0.66,17.36,0.68,22.16,0.66,17.96,0.8,16.8,0.58,23.52,0.6,23.24,0.76,17.76,0.78,18.32,0.56,20,0.4,24.04
146,0.72,21.04,0.68,14.92,0.62,19.44,0.78,17.92,0.84,16.4,0.64,14.96,0.64,22.56,0.82,18.44,0.72,14.28,0.64,22.48,0.54,21.96,0.52,20.52,0.74,17.8,0.54,21.96,0.2,30.68
147,0.56,19.52,0.7,17.84,0.76,17.44,0.76,19.44,0.74,16.96,0.56,15.76,0.84,17.16,0.7,15.84,0.68,17.8,0.5,23.64,0.7,25.76,0.64,16.68,0.76,15.68,0.56,25.16,0.54,22.64
148,0.48,19.52,0.78,16.56,0.66,20.76,0.68,20.84,0.6,16.32,0.7,13.72,0.66,34.36,0.7,15.88,0.64,16.6,0.52,24.8,0.58,22.48,0.62,19.8,0.74,18.36,0.76,17.88,0.44,29.4
149,0.62,16.92,0.72,15.92,0.58,17.08,0.66,19.12,0.78,16.2,0.74,16.48,0.64,18.4,0.64,18.16,0.72,17.56,0.54,17.48,0.66,23.2,0.7,19.28,0.86,17.68,0.56,21,0.42,25.68
150,0.36,17.08,0.82,14.68,0.72,18,0.74,18.6,0.72,16.92,0.8,14.76,0.7,21.24,0.68,18.84,0.7,17.72,0.62,19.24,0.42,26.64,0.54,20.92,0.58,16.56,0.7,17.64,0.66,21.2
151,0.22,19.72,0.74,16.76,0.78,19.64,0.84,18.72,0.68,18.28,0.62,12.76,0.8,19.04,0.62,18,0.68,17.72,0.66,21.96,0.58,21.64,0.6,15.4,0.82,15.48,0.66,24.64,0.68,23.8
152,0.26,17.84,0.72,17.68,0.68,17.04,0.72,18.64,0.72,14.84,0.68,14.8,0.72,18.88,0.78,16.2,0.72,17.72,0.7,20.2,0.44,25.8,0.7,17.84,0.64,19.04,0.7,16.76,0.52,24.2
153,0.2,17.68,0.68,16.6,0.72,18.56,0.8,18.04,0.76,15.8,0.74,15.48,0.66,17.96,0.74,18.72,0.7,18.72,0.6,24.04,0.6,28.96,0.6,22.12,0.8,19.04,0.64,19.52,0.56,23.68
154,0.2,16.68,0.7,16.04,0.74,18.84,0.68,19.56,0.62,14.6,0.62,16.2,0.62,18.08,0.72,15.16,0.68,17.76,0.46,22.92,0.48,21.92,0.6,19.16,0.76,17.6,0.6,20.28,0.68,23
155,0.58,17.32,0.8,15.12,0.64,21.16,0.76,18.52,0.74,14.2,0.64,17.52,0.16,27.56,0.64,17,0.76,15.92,0.54,19.4,0.32,29.24,0.6,19.6,0.7,15.4,0.58,26.44,0.6,23.44
156,0.34,21.72,0.86,15.36,0.66,24.2,0.78,19.52,0.72,15.04,0.72,18.48,0.76,16,0.8,21.88,0.74,18.48,0.56,24.28,0.6,25.36,0.64,20.28,0.64,16.24,0.74,18.96,0.68,19.76
157,0.5,22.16,0.74,18.32,0.64,17.08,0.78,17.56,0.7,16.08,0.58,17.52,0.72,21,0.7,17.52,0.7,16.72,0.52,23.92,0.62,17.36,0.48,24.4,0.88,22.24,0.6,18.56,0.56,23.44
158,0.5,21.2,0.68,17.32,0.64,16.56,0.68,19.8,0.78,13.68,0.64,19.16,0.68,17.6,0.76,15.2,0.74,16.64,0.64,20.68,0.58,28.88,0.74,15.68,0.72,17.92,0.54,22.08,0.26,34.6
159,0.56,21.36,0.84,15.24,0.66,21.76,0.64,22.16,0.66,16,0.62,17.6,0.6,18.64,0.76,13.88,0.82,15.52,0.62,18.48,0.7,23.28,0.56,18.96,0.72,18.32,0.62,19.6,0.64,24.24
160,0.52,23.96,0.58,17.04,0.74,18.96,0.78,18.12,0.6,16.68,0.62,14.84,0.8,15,0.72,17.08,0.8,16.28,0.64,20.8,0.64,18.48,0.6,17.92,0.7,19.64,0.82,18.76,0.58,27.04
161,0.72,17.88,0.68,15.4,0.78,17.2,0.78,19.48,0.78,13.96,0.7,15.76,0.8,14.72,0.42,21.16,0.78,15.6,0.72,20,0.72,21.88,0.7,19,0.74,17.52,0.72,19.56,0.46,27.36
162,0.74,20.2,0.72,16.16,0.6,19.8,0.78,18.52,0.66,14.72,0.7,17.08,0.6,15.36,0.72,18.76,0.82,15.84,0.52,20.64,0.68,25.68,0.72,17.64,0.86,18.76,0.56,21.28,0.62,19.88
163,0.5,21.52,0.84,17.2,0.88,17.88,0.72,19.72,0.68,15.08,0.62,18.52,0.62,14.92,0.62,19,0.8,16.64,0.66,20.64,0.64,24.6,0.84,14.12,0.76,20.84,0.72,20,0.7,23.44
164,0.66,18.6,0.86,15.84,0.76,17,0.8,19.48,0.76,14.4,0.7,17,0.74,18.8,0.76,19.28,0.76,14.72,0.68,19.08,0.76,22.64,0.64,19.56,0.68,17.32,0.58,20.12,0.74,18.08
165,0.46,21.56,0.74,17.48,0.72,18.2,0.78,22.36,0.58,15.64,0.64,17.28,0.72,16.8,0.68,17.92,0.86,15.72,0.64,20.64,0.68,25.56,0.62,18.24,0.84,17.12,0.52,21.24,0.76,16.04
166,0.52,21.88,0.78,17.52,0.72,17.48,0.82,18.6,0.68,14.72,0.48,19.44,0.7,19,0.66,18.88,0.7,15.2,0.58,22.96,0.7,21.68,0.62,17.92,0.84,28.12,0.7,19.44,0.82,16.04
167,0.58,20.56,0.74,16.8,0.8,17.56,0.74,19.92,0.58,16.48,0.66,17.88,0.74,20.32,0.8,14.04,0.66,15.44,0.66,23.96,0.8,20.84,0.6,19.24,0.74,18.72,0.66,20.76,0.7,17.44
168,0.38,22.4,0.78,15.96,0.56,17.76,0.64,20.72,0.66,16.52,0.64,18.2,0.7,18.08,0.7,16.68,0.72,16,0.58,20.76,0.8,23.28,0.64,21.48,0.84,18.56,0.6,17.36,0.62,18.96
169,0.56,22.6,0.82,17.4,0.76,16.2,0.56,24.76,0.66,15.76,0.6,21.84,0.7,14.16,0.78,15.84,0.78,18.28,0.58,24.12,0.74,25,0.62,22.96,0.84,16.76,0.76,17.12,0.7,17.44
170,0.8,17.36,0.72,21.6,0.64,20.84,0.6,24.04,0.66,16.84,0.62,17.56,0.68,16.6,0.7,14.6,0.7,17.08,0.56,21.24,0.66,22.08,0.68,15.84,0.76,20.56,0.64,18.64,0.68,16.52
171,0.7,17.92,0.8,15.56,0.58,18.44,0.78,21.96,0.62,22.76,0.64,17.56,0.72,17.44,0.7,14.92,0.7,15.24,0.62,21.96,0.64,19.76,0.72,17.64,0.72,18.12,0.64,20.2,0.64,16.92
172,0.62,17.72,0.86,18.92,0.46,20.56,0.62,20.96,0.48,21.76,0.52,15.84,0.74,16.6,0.76,15.6,0.76,17.04,0.56,20.76,0.72,23.6,0.62,22.24,0.64,18.6,0.6,20.12,0.74,17
173,0.62,19.2,0.74,22.96,0.8,20.48,0.36,32,0.28,20.72,0.66,15.6,0.82,14.36,0.86,17.08,0.74,16.48,0.66,24.88,0.72,21.36,0.66,16.76,0.8,26.8,0.74,16.68,0.84,16.64
174,0.66,18,0.8,20.96,0.64,18.32,0.6,21.84,0.7,18.6,0.68,19.16,0.7,14.64,0.68,18.44,0.76,14.8,0.58,23.24,0.66,22.2,0.6,18.6,0.78,18.96,0.64,22.68,0.74,15
175,0.74,20.76,0.72,19.96,0.68,19.6,0.74,19.96,0.36,17.32,0.66,16.16,0.58,14.68,0.8,19.72,0.72,16.96,0.56,24.52,0.7,22.72,0.64,20.12,0.62,19.24,0.6,22.92,0.82,23.64
176,0.8,18.72,0.8,16.64,0.6,18.48,0.64,22.48,0.3,19.16,0.74,18.04,0.64,17.92,0.62,22.16,0.78,18.96,0.68,21.92,0.84,18.8,0.68,16.84,0.72,18.64,0.58,21.2,0.72,18.24
177,0.66,20.12,0.58,20.4,0.7,19.4,0.5,25.84,0.1,18.2,0.64,23.8,0.7,16.88,0.78,16.52,0.66,19.08,0.52,29.72,0.68,22.64,0.6,18.72,0.8,27.12,0.6,21.36,0.54,15.96
178,0.7,19.44,0.72,17.72,0.68,18.48,0.64,22.48,0.22,21.4,0.62,18.84,0.74,16.76,0.76,21.84,0.7,17.84,0.52,27.28,0.74,23.4,0.48,20.52,0.62,21.88,0.64,19.52,0.62,26.76
179,0.62,19.2,0.58,17.92,0.76,18.52,0.64,21.84,0.34,24.4,0.66,17.6,0.78,15.56,0.76,16.44,0.78,17.68,0.52,23,0.72,21.2,0.64,17.8,0.72,19,0.54,23.16,0.5,22.88
180,0.56,19.16,0.68,18.36,0.78,17.24,0.6,21.36,0.28,26.28,0.66,16.92,0.64,18.6,0.76,20.4,0.66,18.52,0.56,25.52,0.84,21.6,0.58,17.32,0.72,16.08,0.56,24.52,0.64,19.4
181,0.42,19.88,0.64,20.28,0.78,18.2,0.36,26.04,0.1,25.64,0.58,17.56,0.72,18.72,0.68,18.16,0.74,17.6,0.68,19.04,0.62,19.92,0.7,18.16,0.72,20.64,0.58,21.76,0.6,23.84
182,0.6,19.72,0.7,20.64,0.78,16.36,0.7,21.4,0.28,27.92,0.44,19.48,0.72,16.32,0.66,15.16,0.8,18,0.68,21.36,0.72,19.88,0.72,17.64,0.64,20.2,0.48,23.6,0.58,19.2
183,0.7,18.92,0.66,18.28,0.64,17.44,0.68,19.36,0.34,27.92,0.54,19.56,0.82,17.44,0.8,17.72,0.66,19.6,0.54,23.56,0.68,23.12,0.7,15.92,0.52,22.56,0.58,19.92,0.62,21.8
184,0.62,18.84,0.72,16.76,0.72,18.2,0.76,19.48,0.26,33.88,0.74,13.92,0.66,19.2,0.66,17,0.86,18.28,0.54,22.6,0.78,22.12,0.6,19.64,0.78,20.36,0.56,22.24,0.8,23.08
185,0.54,20.08,0.46,24.04,0.86,18.36,0.78,20.32,0.44,31.16,0.62,15.24,0.72,19,0.66,18.88,0.7,18.48,0.48,20.64,0.8,20.48,0.58,18.28,0.88,17.44,0.5,24.24,0.58,23.8
186,0.72,17.2,0.76,16.04,0.62,19.64,0.78,22.04,0.56,22.16,0.66,15.16,0.76,17.56,0.7,17.8,0.66,16.76,0.54,22.16,0.66,20.24,0.78,15.6,0.78,18.84,0.54,24.2,0.66,23.16
187,0.54,19.32,0.66,20.92,0.7,17.68,0.62,26.52,0.62,22.84,0.68,15.08,0.7,16.88,0.68,15.96,0.72,17.44,0.48,23.72,0.76,19.12,0.72,17.08,0.64,22,0.52,23.4,0.56,21.4
188,0.64,19.08,0.78,16,0.72,17.96,0.68,28.76,0.38,28.76,0.54,16.08,0.74,18.4,0.66,17.44,0.76,16,0.66,18.8,0.82,18.92,0.78,16.76,0.72,21.8,0.48,22.28,0.74,19.32
189,0.86,19.36,0.8,15.52,0.68,20.8,0.6,21.36,0.5,23.48,0.68,16.72,0.54,20,0.74,16.28,0.7,16.24,0.62,22.88,0.7,22.68,0.54,21.56,0.88,20.56,0.6,21.88,0.6,21.24
190,0.64,18.44,0.62,18.36,0.62,19.04,0.88,20.48,0.68,20.76,0.72,14.24,0.68,18.88,0.8,15.6,0.7,17.44,0.48,23.6,0.78,20.24,0.74,17.08,0.64,22.04,0.66,19.52,0.54,18
191,0.76,18.2,0.72,15.76,0.78,15.88,0.7,21.08,0.62,18.8,0.72,17.8,0.68,19.64,0.72,19.36,0.72,17.24,0.5,23.88,0.78,19.52,0.52,23.44,0.7,20.96,0.54,23.2,0.7,15.4
192,0.66,18.64,0.74,17.76,0.62,20.84,0.64,20.12,0.5,22.72,0.56,20.92,0.6,19.84,0.76,16.76,0.72,17.56,0.5,25.16,0.8,19.6,0.58,20.64,0.56,19.08,0.62,22.8,0.48,20.44
193,0.52,22,0.7,16.52,0.78,14.76,0.78,20.52,0.7,19.4,0.76,17.08,0.7,19.08,0.78,15.2,0.82,17,0.5,26.24,0.72,19.92,0.66,17.56,0.72,19.16,0.52,19.56,0.68,18.2
194,0.7,18.12,0.82,15.4,0.78,16.56,0.86,19.12,0.56,22.4,0.74,13.8,0.62,21.28,0.7,21.44,0.62,16.12,0.7,19.88,0.64,21.28,0.72,19.2,0.64,18.12,0.62,19.72,0.74,15.96
195,0.58,19.6,0.68,19.12,0.66,18.28,0.76,19.76,0.76,22.8,0.66,13.36,0.68,19.08,0.72,17.2,0.72,17.24,0.54,21.2,0.8,21.56,0.6,21.04,0.78,18.88,0.66,19.6,0.72,17.2
196,0.68,23.04,0.78,16.52,0.7,17,0.68,19.6,0.44,23.84,0.8,13.36,0.68,21.48,0.76,18.68,0.66,18.48,0.56,24.56,0.64,23.44,0.64,20.56,0.64,27.64,0.62,22.32,0.8,16.2
197,0.5,23.24,0.7,16,0.62,17.48,0.86,17.44,0.5,24.44,0.58,18.72,0.76,16.92,0.62,17.96,0.72,21.32,0.7,21.04,0.68,21.44,0.56,21.64,0.84,16.64,0.68,18.64,0.58,20.76
198,0.46,23.48,0.88,15.16,0.7,16.44,0.66,17.16,0.38,22.72,0.74,16.12,0.62,22.56,0.64,19.68,0.7,17,0.6,24.72,0.68,22.48,0.6,20.48,0.72,24.48,0.54,20.64,0.5,22.4
199,0.54,22.04,0.8,16.64,0.82,17.88,0.76,20.44,0.5,19.92,0.68,16.52,0.7,19.32,0.66,19,0.62,18.32,0.6,22.92,0.72,23.48,0.8,18.4,0.82,16.84,0.74,18.76,0.62,21.4
200,0.58,23.8,0.72,16.2,0.74,16.08,0.86,19.64,0.54,20.68,0.76,15.08,0.58,19.24,0.76,16.28,0.66,17.64,0.54,24.44,0.62,22.6,0.7,18.12,0.74,16.08,0.74,19.8,0.64,21.12
