x,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn
201,0.72,19.64,0.78,14.44,0.72,17.8,0.72,19.52,0.68,20.16,0.78,15.96,0.82,18.36,0.6,18.48,0.76,18.56,0.56,23.04,0.64,18.84,0.58,21.68,0.7,18.24,0.6,21.32,0.5,20.76
202,0.66,23.96,0.66,18,0.72,17.64,0.74,19.6,0.58,24.64,0.52,19.52,0.68,19.2,0.68,18.92,0.74,18.32,0.58,24.6,0.76,18.92,0.7,21.56,0.9,16.44,0.6,22.4,0.7,21.8
203,0.78,19.72,0.76,18.36,0.6,17.8,0.76,20.52,0.68,17.36,0.66,16.52,0.8,16.08,0.58,19.92,0.76,17.48,0.64,20.08,0.72,22.92,0.6,19.12,0.66,16.72,0.6,19.76,0.5,25.32
204,0.6,23.16,0.82,17.4,0.78,17.68,0.56,18.8,0.66,19.12,0.66,17.68,0.8,17.88,0.78,16.84,0.7,18.32,0.52,23.48,0.52,19.48,0.58,19.76,0.76,16.96,0.58,17.08,0.66,17.52
205,0.68,21.6,0.7,17.2,0.76,16.6,0.82,17.64,0.9,18.2,0.7,20.56,0.66,19.32,0.72,17.32,0.72,16,0.72,19.56,0.62,22.96,0.68,21.44,0.78,14.2,0.62,24.36,0.58,20.24
206,0.74,19.56,0.82,17.76,0.84,17.8,0.8,16.72,0.64,18.56,0.7,15.44,0.68,18.52,0.76,19.52,0.8,16.56,0.54,24.24,0.68,18.76,0.72,18.04,0.82,14.72,0.64,21.44,0.74,17.72
207,0.54,23.16,0.76,20.08,0.7,18.8,0.86,17.8,0.52,23.28,0.74,17.56,0.76,18.88,0.74,17.28,0.62,20.24,0.56,19.68,0.58,18.56,0.72,17.6,0.84,15.88,0.64,20.84,0.76,15.48
208,0.62,23,0.74,17.24,0.8,17.52,0.8,17.68,0.68,21.44,0.58,17.48,0.8,19.12,0.68,18.64,0.66,18.68,0.66,21.56,0.58,21,0.62,19.4,0.8,18.32,0.62,19.32,0.64,16.72
209,0.72,21,0.86,16.44,0.76,19.04,0.8,16.52,0.78,19.72,0.72,16.88,0.6,22,0.7,17.08,0.66,17.08,0.76,21.52,0.7,18.56,0.68,16.92,0.8,16.48,0.7,18.12,0.74,14.48
210,0.64,21.32,0.76,16,0.82,16.68,0.72,19.36,0.82,19.96,0.68,17.88,0.74,18.2,0.82,16.6,0.6,17.2,0.64,23.32,0.56,24.2,0.68,17.52,0.9,18.28,0.56,24.08,0.6,17.68
211,0.74,18.92,0.7,18.2,0.68,18.64,0.84,18.96,0.58,21.68,0.68,13.24,0.6,21.2,0.68,15.68,0.66,17.52,0.66,21,0.74,20.32,0.76,18.04,0.76,18.2,0.56,23.92,0.62,15
212,0.78,18.4,0.74,17.28,0.74,17.84,0.74,18.76,0.64,21.64,0.56,19.36,0.68,20.92,0.74,16.64,0.78,17.48,0.6,22.88,0.72,16.32,0.7,18.08,0.76,15.6,0.48,24.16,0.7,28.24
213,0.66,20.36,0.74,15.48,0.8,16.28,0.78,17.52,0.7,20.8,0.54,18.48,0.66,18.92,0.62,18.76,0.8,16.4,0.64,19.16,0.78,15.44,0.64,15.52,0.84,15.48,0.68,22.12,0.72,17.12
214,0.64,20.8,0.64,18.96,0.64,19.72,0.78,19.52,0.82,23.52,0.64,16.32,0.76,20.24,0.72,17.04,0.82,17.32,0.64,21.48,0.78,18.2,0.68,18.88,0.7,19.88,0.74,17.36,0.7,17.92
215,0.66,19.12,0.82,15.24,0.88,16.48,0.7,20,0.74,18.52,0.68,18.2,0.74,16.72,0.8,17.72,0.62,19.88,0.62,22.28,0.74,16.64,0.64,19.28,0.72,16.88,0.5,25.72,0.72,17.56
216,0.72,19.8,0.8,16.92,0.7,17.48,0.72,20,0.64,19.16,0.54,16.88,0.78,19.84,0.78,16.92,0.86,15.88,0.68,21.28,0.66,17.92,0.94,16.92,0.72,19,0.7,25.12,0.6,19.48
217,0.72,16.72,0.8,16.36,0.7,17.24,0.72,19.96,0.62,21.96,0.66,17.28,0.66,22.48,0.74,19.44,0.72,20.16,0.54,23.12,0.68,17.2,0.74,16.16,0.68,16,0.62,22.16,0.62,19.16
218,0.66,18.96,0.74,17.52,0.66,19.04,0.8,17.8,0.58,18.92,0.64,19.28,0.7,19.88,0.66,20.8,0.66,18.24,0.68,17.88,0.72,19.6,0.76,15.8,0.72,15.84,0.5,26.28,0.58,17.96
219,0.9,16.96,0.84,17.36,0.74,17.44,0.76,19.6,0.52,21.72,0.72,16.12,0.72,18.12,0.82,17.32,0.82,15.8,0.56,22.4,0.66,21.28,0.74,17.56,0.88,15.56,0.54,22.8,0.72,16.4
220,0.76,18.2,0.82,17.44,0.72,19,0.78,18.84,0.5,26.56,0.6,21.28,0.84,18.2,0.64,16.16,0.8,17.96,0.66,20.92,0.58,24.16,0.58,19.4,0.78,18.48,0.66,21.04,0.74,24.76
221,0.64,18.56,0.78,16.48,0.76,18.24,0.7,18.84,0.5,25.64,0.66,21.32,0.74,17.44,0.78,16.36,0.78,15.24,0.62,19.48,0.78,20.08,0.72,16.88,0.76,18.04,0.64,21.56,0.62,18.56
222,0.76,18.68,0.82,14.88,0.6,16,0.78,17.04,0.4,23.68,0.62,16.64,0.8,17.16,0.7,15.4,0.78,16.28,0.68,20.04,0.74,17.32,0.58,20.96,0.72,15.68,0.78,18.64,0.76,22
223,0.82,17.96,0.64,17.48,0.7,17.76,0.84,16.48,0.44,26.68,0.52,18.88,0.62,20.44,0.82,16.76,0.74,18.4,0.48,23.48,0.54,22.44,0.58,15.44,0.8,15.8,0.62,20.56,0.66,29.12
224,0.7,18,0.88,15.48,0.62,19.48,0.8,16.2,0.58,21.24,0.58,18.6,0.68,19.88,0.76,19.44,0.84,16.88,0.76,19,0.68,22.04,0.78,13.96,0.84,15.92,0.6,19.88,0.8,20.2
225,0.78,17.28,0.8,14.84,0.56,19.2,0.62,18.32,0.38,25.88,0.58,18.08,0.82,20.52,0.66,18.6,0.74,16.28,0.62,22.44,0.58,23.44,0.78,16.36,0.72,18.6,0.7,19.16,0.66,18.32
226,0.74,17.64,0.74,16.52,0.44,24.16,0.82,17,0.38,30.64,0.58,17.72,0.7,16.44,0.7,19.2,0.74,15.4,0.7,20,0.54,24.48,0.54,20.48,0.88,17.12,0.68,15.84,0.78,20.28
227,0.86,17.08,0.74,15.72,0.62,20.44,0.7,16.2,0.2,32.32,0.5,22.12,0.78,17.08,0.76,19.48,0.74,19,0.7,22.36,0.54,21.52,0.74,18.32,0.84,18.32,0.68,18.16,0.66,19.84
228,0.62,18.08,0.66,17.2,0.72,18.52,0.76,17.72,0.22,29.96,0.5,16.96,0.8,17.48,0.8,16.56,0.76,17.64,0.78,20.12,0.62,19.12,0.64,19.4,0.64,19.04,0.74,17.84,0.66,24.56
229,0.64,18.12,0.68,16.64,0.52,22.64,0.76,16,0.36,25.8,0.54,16.4,0.68,17.48,0.82,18.36,0.7,19.08,0.72,22.48,0.74,21.16,0.72,17,0.82,15.8,0.72,18.92,0.64,27.84
230,0.7,18.88,0.66,16.12,0.54,19.52,0.86,16.12,0.32,32,0.68,17.48,0.78,20.2,0.4,28.28,0.78,16.96,0.72,19.76,0.64,20.16,0.64,18.4,0.76,19.88,0.64,24.44,0.58,23.88
231,0.3,22.12,0.76,19.56,0.58,21.32,0.84,17.4,0.62,24.56,0.58,19.56,0.76,18.2,0.72,19.92,0.8,19.08,0.6,23.96,0.72,22,0.64,19.92,0.82,17.84,0.68,21.8,0.56,21.68
232,0.52,21.8,0.74,16.64,0.48,24.28,0.84,17.52,0.32,30,0.74,14.16,0.72,20.52,0.68,19.4,0.82,16,0.56,24.2,0.72,22.6,0.66,18.76,0.82,17.32,0.64,21.48,0.46,21.76
233,0.64,19.36,0.78,15.72,0.66,21.04,0.68,16.72,0.46,26.44,0.74,14.84,0.72,20.2,0.74,19,0.78,16.44,0.64,20.52,0.76,21.64,0.7,18.16,0.8,28.6,0.68,21.16,0.28,34.96
234,0.76,18.2,0.84,15.44,0.58,21.56,0.72,19.4,0.16,30.92,0.68,17.88,0.62,19.8,0.84,16.44,0.74,17.08,0.58,20.48,0.62,23.44,0.62,21,0.76,17.56,0.6,25.4,0.44,20.68
235,0.58,18.52,0.78,16,0.52,22,0.7,19.48,0.36,29.32,0.66,16.48,0.76,16.68,0.66,20.96,0.62,18.36,0.46,21.28,0.5,23.56,0.58,20.44,0.74,18.2,0.74,16.96,0.7,16.92
236,0.2,20.84,0.7,16.04,0.76,18.32,0.74,16.32,0.24,28.2,0.62,14.44,0.64,26.84,0.86,14.36,0.74,17.92,0.52,21.04,0.78,20.16,0.64,21.88,0.74,20.32,0.7,19.92,0.6,18.28
237,0.42,20.64,0.7,17.24,0.72,19.56,0.72,18.24,0.26,26.76,0.56,15.96,0.62,25.4,0.64,16.08,0.64,17.64,0.6,22.16,0.7,20.52,0.78,16.44,0.82,26.8,0.68,21.48,0.78,15.24
238,0.7,17.72,0.76,17.96,0.72,16.56,0.74,16.88,0.56,23.24,0.66,15.2,0.62,21.28,0.72,13.68,0.76,16.6,0.72,25.6,0.62,23.16,0.44,25.2,0.8,26.76,0.7,21.2,0.64,21.32
239,0.66,19.24,0.72,17.4,0.8,16.12,0.8,16.6,0.76,22.52,0.58,17.36,0.7,20.16,0.7,21.72,0.68,17.72,0.36,29.84,0.72,19.56,0.7,18.6,0.66,24.28,0.64,20,0.7,21.6
240,0.6,19.64,0.74,16.48,0.8,17.96,0.62,15.96,0.68,23.8,0.82,16,0.62,23.28,0.64,18.76,0.74,19.6,0.64,20.88,0.5,29.68,0.54,16.84,0.54,24.72,0.8,15.16,0.78,19.72
241,0.72,19.08,0.68,19.16,0.8,18.72,0.82,16.88,0.7,21.64,0.54,16.36,0.66,20.96,0.66,21.24,0.82,15.48,0.62,19.52,0.68,24.56,0.8,16.4,0.38,30.76,0.58,22.52,0.74,18.76
242,0.94,17.2,0.76,18.84,0.74,17.84,0.72,15.4,0.8,18.92,0.54,13.4,0.76,19.68,0.64,20.6,0.8,15.64,0.72,20.72,0.6,32.44,0.66,19.52,0.62,17.84,0.62,23.56,0.72,16.96
243,0.82,17.4,0.66,17.16,0.82,19.52,0.74,14.36,0.72,18.6,0.58,15.76,0.74,22.36,0.7,24.88,0.82,16.84,0.66,24.44,0.62,27.36,0.7,17.36,0.64,18.04,0.52,24.96,0.74,19.32
244,0.8,19.64,0.74,16.08,0.66,18.8,0.74,15.16,0.54,24.32,0.54,16.28,0.74,24.52,0.5,24.8,0.7,16.56,0.64,23.6,0.52,25.64,0.72,18.76,0.62,17.52,0.54,23.2,0.82,17.36
245,0.78,19.24,0.84,17.44,0.72,17.72,0.62,17.24,0.6,22.2,0.44,19.56,0.76,18.24,0.62,21.12,0.72,16.28,0.68,21.04,0.64,26.12,0.62,18.84,0.84,15.2,0.62,22.36,0.64,21.64
246,0.8,18.68,0.8,17.36,0.82,18.32,0.72,16.4,0.58,21.56,0.5,21.48,0.72,21.76,0.58,22.8,0.7,17.72,0.6,21.28,0.74,23.48,0.58,17.36,0.86,18.28,0.54,26.32,0.68,19.24
247,0.8,19.2,0.62,20.72,0.72,18.68,0.72,17.08,0.68,21.24,0.48,20.44,0.7,17.44,0.62,22.2,0.76,14.96,0.7,21.72,0.66,24.64,0.74,18.72,0.8,20.4,0.56,25,0.74,18.24
248,0.64,19.4,0.78,15.4,0.7,16,0.68,15.92,0.64,19,0.72,18.08,0.8,16.24,0.54,23.76,0.76,17.04,0.66,20.92,0.46,28.44,0.64,18,0.74,16.36,0.66,20.64,0.8,16.92
249,0.68,19.4,0.6,18,0.7,17.8,0.8,15.92,0.84,18.16,0.54,17.96,0.64,20.2,0.54,25.64,0.86,14.84,0.64,21.08,0.64,21.52,0.72,16.28,0.92,16.48,0.7,23.04,0.6,19.68
250,0.7,17.6,0.66,17.24,0.8,16.64,0.78,15,0.68,20.56,0.5,14.52,0.78,16.92,0.72,19.16,0.8,15.08,0.62,20.2,0.6,22.56,0.74,20.04,0.76,15.76,0.64,19.56,0.76,19.56
251,0.66,19.12,0.82,15.56,0.74,18.24,0.82,15,0.76,19.4,0.5,17.36,0.74,17.6,0.5,25.68,0.76,17.36,0.66,27.24,0.6,23.56,0.74,16.84,0.84,16.6,0.8,16.32,0.66,21.96
252,0.8,18.16,0.74,17.64,0.82,17.44,0.8,15.76,0.7,20.76,0.4,22.8,0.58,19.76,0.82,20.08,0.6,17.52,0.7,18.8,0.54,25.52,0.58,16.12,0.76,16.48,0.64,25.48,0.58,22.52
253,0.72,19.72,0.54,19,0.82,16.32,0.62,16.12,0.82,19,0.46,15.72,0.68,18.76,0.64,19.68,0.76,15,0.68,19.8,0.82,15.68,0.74,18.32,0.74,16.72,0.58,21.56,0.7,19.96
254,0.78,19.92,0.64,18.52,0.84,15.4,0.68,17.32,0.84,17.76,0.24,24.12,0.74,17.6,0.82,17.48,0.58,18.04,0.6,19.12,0.7,17.36,0.76,17.56,0.9,16.24,0.72,18.24,0.8,18.92
255,0.8,19.56,0.58,22.92,0.8,17.28,0.82,14.68,0.74,16.2,0.4,22.4,0.68,18.32,0.78,15.36,0.7,16.88,0.56,25.6,0.76,17.4,0.54,20.88,0.76,19.68,0.8,18.04,0.66,17.76
256,0.82,17.84,0.58,22.96,0.82,15.56,0.78,15.72,0.7,19.24,0.34,20.76,0.54,20.36,0.66,19.12,0.76,18.88,0.8,17.24,0.84,16.44,0.7,18.36,0.78,16.4,0.74,18.52,0.7,25.56
257,0.82,19.08,0.68,20.2,0.68,16.32,0.86,15.36,0.82,19.32,0.48,17.36,0.68,18.32,0.62,15.36,0.68,17.04,0.7,21.24,0.8,16.32,0.74,18.04,0.74,20.68,0.62,20.24,0.68,20.92
258,0.62,22.52,0.46,23.48,0.76,16.84,0.68,16.56,0.84,22.64,0.46,21.12,0.64,21.96,0.7,16.16,0.72,15.92,0.74,20.4,0.72,17.44,0.78,15.56,0.76,16.64,0.68,19.2,0.68,18.12
259,0.76,19.92,0.5,19.6,0.58,19.24,0.66,15.2,0.82,17.56,0.74,16.6,0.54,19.64,0.66,18.96,0.6,17.28,0.66,22.48,0.76,18.76,0.7,14.76,0.7,17.04,0.6,20.4,0.6,21.12
260,0.8,18.56,0.48,24.08,0.78,16.68,0.58,19,0.8,16.76,0.6,18.04,0.52,24.96,0.78,19.72,0.84,14.96,0.74,18.76,0.76,19.16,0.58,16.88,0.66,20.64,0.64,17.24,0.78,19.28
261,0.7,23.56,0.68,18.32,0.84,16.04,0.76,15.8,0.84,16.96,0.48,20.36,0.64,22.12,0.66,20.16,0.62,16.24,0.68,22.2,0.64,25,0.6,20.4,0.66,16.76,0.78,17.8,0.68,22.24
262,0.74,20.44,0.68,18.44,0.82,16.4,0.72,14.28,0.74,18.32,0.64,17.68,0.62,20.68,0.8,16.36,0.82,15,0.72,26.48,0.7,22.8,0.66,15.28,0.74,15.92,0.76,18.2,0.76,20.32
263,0.62,23.88,0.62,20.32,0.78,17.36,0.78,15.24,0.62,20.64,0.48,19.28,0.72,17.12,0.7,18.04,0.84,17.08,0.66,22,0.66,23.68,0.78,15.28,0.8,19.16,0.78,19.84,0.68,26.48
264,0.62,23.56,0.68,21.32,0.72,17.64,0.78,13.44,0.74,18.36,0.48,23.52,0.7,22.84,0.8,17.4,0.84,17.36,0.52,27.92,0.72,23.52,0.8,15.84,0.7,18.4,0.7,18.44,0.64,19.76
265,0.7,21.72,0.64,18.68,0.74,15.44,0.7,14.72,0.6,21.96,0.66,18.72,0.66,19.72,0.74,16.16,0.74,17.6,0.26,28.84,0.68,18.84,0.74,18.6,0.84,14.72,0.68,20.2,0.66,20.08
266,0.72,19.16,0.76,17.08,0.84,16.32,0.66,15.48,0.76,18.56,0.62,18.04,0.76,18.48,0.76,21.08,0.68,20,0.4,26.2,0.62,22,0.74,17.2,0.84,15.04,0.7,19.24,0.72,18.52
267,0.62,21.08,0.56,21.24,0.68,18.52,0.64,16.2,0.78,16.72,0.58,19.28,0.7,19.24,0.6,17.92,0.62,19.72,0.4,26.6,0.52,26.44,0.76,18.92,0.74,14.56,0.7,19.16,0.66,20.04
268,0.7,23.76,0.84,15.6,0.7,17.76,0.68,15.48,0.62,21.08,0.66,18,0.78,17.68,0.78,14.92,0.74,15.12,0.68,18.04,0.54,23.88,0.56,20.16,0.76,15.8,0.56,17.64,0.7,18.92
269,0.84,20.76,0.78,17.96,0.66,16.16,0.76,14.96,0.66,20.76,0.44,23.24,0.74,20.56,0.78,15.08,0.78,17.64,0.6,28.92,0.44,25.92,0.68,19.84,0.78,17.24,0.74,17.16,0.64,20.12
270,0.66,24.52,0.8,14.32,0.86,15.88,0.76,15.44,0.76,18.96,0.38,25.32,0.72,18.76,0.86,15.24,0.42,30.84,0.6,20.56,0.5,26.32,0.64,18.8,0.84,16.08,0.68,19.32,0.72,21.16
271,0.7,21.56,0.66,15.48,0.7,18.32,0.86,13.92,0.8,16.24,0.62,21.24,0.66,19.96,0.76,15.76,0.74,18.6,0.66,19.72,0.38,29.12,0.7,17.88,0.78,19.52,0.56,18.32,0.82,17.24
272,0.72,21.84,0.62,18.4,0.72,16.4,0.82,13.44,0.6,25.72,0.46,23.6,0.64,18,0.72,13.12,0.78,16.92,0.82,16.96,0.48,26.2,0.62,19.28,0.7,19.6,0.72,17.08,0.76,19.92
273,0.8,19.48,0.72,19.08,0.74,16.64,0.66,16.16,0.72,17.28,0.68,20.04,0.64,20.04,0.62,15.32,0.82,17.36,0.78,17.88,0.68,16.68,0.6,22.44,0.7,17.2,0.76,18.16,0.66,20.56
274,0.62,22.76,0.66,18.8,0.68,16.56,0.78,13.36,0.58,21,0.66,19.52,0.64,20.12,0.74,14.76,0.64,20.52,0.7,19.72,0.72,19.44,0.68,15.92,0.74,18.64,0.64,20.04,0.9,19.04
275,0.78,20.96,0.64,18.32,0.76,15.76,0.86,14.24,0.7,16.76,0.68,15.76,0.74,18.8,0.64,15.92,0.64,18.24,0.76,18.36,0.72,20.72,0.72,19.8,0.72,21.6,0.76,16.88,0.72,20.4
276,0.74,22.92,0.68,17.64,0.76,17.08,0.74,13.52,0.76,22.92,0.72,16.76,0.64,20.2,0.74,12.88,0.72,18.8,0.76,17.84,0.62,19.64,0.76,17.56,0.74,22.68,0.72,17.84,0.9,17.72
277,0.64,23.24,0.62,16.24,0.8,17.12,0.78,17.64,0.64,20.76,0.78,18.96,0.78,19,0.66,15.12,0.76,18.12,0.66,17.28,0.74,19.2,0.68,19.4,0.68,17.92,0.72,20.44,0.8,17.32
278,0.72,21.68,0.64,19,0.64,17.24,0.92,13.88,0.72,20.4,0.64,18.36,0.56,20.36,0.72,15.44,0.6,19.44,0.74,18.04,0.76,18.36,0.64,20,0.8,20.2,0.62,20.12,0.82,16.12
279,0.74,21.04,0.62,16,0.86,15.48,0.82,14.56,0.54,21.6,0.72,17.88,0.54,19.16,0.78,12.12,0.88,16.56,0.8,16.88,0.78,19.2,0.6,22.44,0.7,22.44,0.64,20.04,0.7,16.24
280,0.72,22.28,0.84,13.68,0.78,16.84,0.66,15.44,0.62,21.32,0.74,16.08,0.68,17.72,0.76,14.24,0.66,18.36,0.86,17.12,0.58,22.4,0.74,16.04,0.78,19.2,0.7,18.84,0.74,16
281,0.88,17.48,0.74,14.88,0.64,17.56,0.76,15.68,0.76,22.88,0.56,17.24,0.74,17.76,0.76,14.64,0.82,16.88,0.78,16.56,0.76,19.12,0.76,16.92,0.84,17.92,0.64,19.8,0.86,19.4
282,0.64,22.6,0.72,15.32,0.84,16.24,0.74,14.88,0.72,16.68,0.76,13.44,0.66,17.48,0.76,15.72,0.8,17.84,0.78,17.84,0.8,18.04,0.78,13.68,0.8,18.28,0.7,18.56,0.74,20.8
283,0.88,18.88,0.68,14.88,0.88,16.92,0.58,17.92,0.7,19.36,0.58,18.8,0.7,18.44,0.84,21.64,0.74,20.84,0.84,18.12,0.68,16.12,0.68,17.36,0.76,15.56,0.58,20.08,0.66,21.88
284,0.76,20.28,0.76,15.6,0.84,15.24,0.74,16.08,0.76,18.84,0.54,16.84,0.68,18.08,0.72,22,0.72,17.04,0.64,22.12,0.7,19.04,0.7,16.52,0.82,17.2,0.66,22.52,0.66,20.68
285,0.7,23.08,0.72,16.6,0.84,16.52,0.7,18.76,0.62,20.32,0.64,18,0.76,17.4,0.7,18.32,0.72,17.52,0.66,20.24,0.78,19.88,0.68,17.2,0.78,16.52,0.64,17.04,0.74,21.32
286,0.76,20.64,0.66,14.24,0.66,18.68,0.82,13.6,0.7,16.56,0.74,19.6,0.8,18.2,0.66,21.04,0.74,19.12,0.62,21.64,0.82,17.04,0.58,23.56,0.78,14.72,0.78,20.68,0.7,18.88
287,0.72,21.88,0.72,15.8,0.76,16.96,0.66,16.48,0.78,23.36,0.7,14.8,0.7,17.72,0.6,19.84,0.74,16.64,0.78,20.32,0.78,17.32,0.58,20.08,0.78,14.64,0.64,19.76,0.74,17.68
288,0.74,21.6,0.68,14.48,0.78,15.56,0.58,20,0.74,17.36,0.74,15.72,0.72,19.56,0.78,18.2,0.66,26.64,0.76,22.32,0.84,18.64,0.68,20.64,0.72,16.24,0.56,21.64,0.78,20.6
289,0.7,20.24,0.74,14.12,0.76,15.04,0.68,17.96,0.56,19.92,0.64,19.6,0.74,18.84,0.72,15.56,0.62,17.36,0.54,20.56,0.72,19.48,0.64,19.64,0.8,15.2,0.6,21.28,0.72,17.04
290,0.72,19.08,0.84,12.76,0.68,17.04,0.74,16.8,0.74,16.4,0.7,16.2,0.58,24.04,0.8,15.92,0.72,18.64,0.68,21.2,0.82,16.52,0.78,17.4,0.78,16.64,0.72,19.36,0.64,18.6
291,0.72,20.12,0.62,20.2,0.66,16.84,0.64,17.8,0.66,18.88,0.76,17.28,0.58,22.68,0.8,13,0.4,24.24,0.72,21.44,0.8,15.84,0.68,20.08,0.76,17.04,0.56,20.8,0.7,27.24
292,0.82,20.52,0.76,14.24,0.8,17.4,0.72,16.16,0.72,19.08,0.54,18.64,0.7,20.76,0.56,17.88,0.82,18.2,0.44,25.56,0.88,18.24,0.74,18.96,0.78,15.44,0.6,21.08,0.76,21.08
293,0.82,19.2,0.78,14.16,0.84,17.32,0.68,17.68,0.68,19.68,0.64,17.12,0.6,24,0.74,14.92,0.76,16.76,0.44,22.16,0.8,17.12,0.74,17.44,0.78,16.8,0.64,23.12,0.64,20.36
294,0.72,21.88,0.66,20.24,0.78,15.48,0.82,13.24,0.7,17.48,0.7,16.16,0.66,21.48,0.74,13.44,0.78,15.88,0.74,21,0.76,17.68,0.58,18.72,0.66,18.04,0.78,18.04,0.66,18.36
295,0.78,17.76,0.78,14.12,0.8,16.4,0.72,16.4,0.74,17.92,0.7,17.8,0.8,18.96,0.56,15,0.7,17.64,0.86,16.6,0.8,15.48,0.62,18.48,0.74,19.44,0.66,21.16,0.78,18.52
296,0.86,19.08,0.66,16.72,0.66,15.6,0.66,15.04,0.66,16,0.7,18.92,0.74,21.16,0.78,15.24,0.72,19.44,0.76,17.96,0.76,18.68,0.58,18.96,0.86,16.2,0.48,24.64,0.62,20.12
297,0.78,20,0.76,16.08,0.76,16.6,0.82,13.08,0.8,15.88,0.78,16.36,0.74,17.96,0.72,17.28,0.82,22.4,0.84,17.44,0.78,18.88,0.88,17.52,0.72,15.84,0.62,19.84,0.72,22.08
298,0.66,20.84,0.62,15.64,0.82,16.6,0.64,17.24,0.64,17.44,0.7,16.96,0.7,19.28,0.74,14.36,0.72,19.44,0.68,23.36,0.78,22.48,0.58,19.6,0.72,18.2,0.62,21.44,0.7,21.8
299,0.76,19.8,0.68,15.32,0.74,16.96,0.52,15.12,0.68,16.76,0.64,19,0.76,18.16,0.78,13.32,0.62,16.56,0.7,20.36,0.78,19.24,0.66,17.88,0.72,16.16,0.86,15.84,0.84,20.72
